EVT_700125_NAME;The strikers give up!;
EVT_700125_DESC;The slow war of attrition between us and the strikers has been won by the government. The workers, seeing little success in their efforts, are about to call off the strike.;
EVT_700125_OPTIONA;Splendid!;
EVT_700126_NAME;The factory returns to work;
EVT_700126_DESC;With the crisis resolved the factories may return to their previous efficiency.;
EVT_700126_OPTIONA;Splendid!;
EVT_700127_NAME;General strike;
EVT_700127_DESC;Workers organisations all over the Russia have reached an agreement and decided to call for a general strike. Even though the response to their initiative has been rather limited so far it is very possible that more and more workers will join the strike should the situation continue to deteriorate.;
EVT_700127_OPTIONA;Damned Socialists!;
EVT_700128_NAME;General strike expands;
EVT_700128_DESC;Workers from other factories have joined the general strike. The situation is on the brink of eruption.;
EVT_700128_OPTIONA;We must be prepared for the worst!;
EVT_700129_NAME;Clashes with the workers;
EVT_700129_DESC;Workers from other factories have joined the general strike. The situation is on a brink of eruption.;
EVT_700129_OPTIONA;Send in the army!;
EVT_700130_NAME;Clashes in Tsaritsyn;
EVT_700130_DESC;Workers in Tsaritsyn have organised a militia and have attacked our troops!;
EVT_700130_OPTIONA;Damn!;
EVT_700131_NAME;Clashes in Moscow;
EVT_700131_DESC;Workers in Moscow have organised a militia and have attacked our troops!;
EVT_700131_OPTIONA;Damn!;
EVT_700132_NAME;Clashes in St. Petersburg;
EVT_700132_DESC;Workers in St. Petersburg have organised a militia and have attacked our troops!;
EVT_700132_OPTIONA;Damn!;
EVT_700133_NAME;Clashes in Kiev;
EVT_700133_DESC;Workers in Kiev have organised a militia and have attacked our troops!;
EVT_700133_OPTIONA;Damn!;
EVT_700134_NAME;Clashes in Kharkov;
EVT_700134_DESC;Workers in Kharkov have organised a militia and have attacked our troops!;
EVT_700134_OPTIONA;Damn!;
EVT_700135_NAME;Clashes in Minsk;
EVT_700135_DESC;Workers in Minsk have organised a militia and have attacked our troops!;
EVT_700135_OPTIONA;Damn!;
EVT_700136_NAME;Clashes in Vladivostok;
EVT_700136_DESC;Workers in Vladivostok have organised a militia and have attacked our troops!;
EVT_700136_OPTIONA;Damn!;
EVT_700137_NAME;Clashes in Wilno;
EVT_700137_DESC;Workers in Wilno have organised a militia and have attacked our troops!;
EVT_700137_OPTIONA;Damn!;
EVT_700138_NAME;Clashes in Riga;
EVT_700138_DESC;Workers in Riga have organised a militia and have attacked our troops!;
EVT_700138_OPTIONA;Damn!;
EVT_700139_NAME;Clashes in Tallin;
EVT_700139_DESC;Workers in Tallin have organised a militia and have attacked our troops!;
EVT_700139_OPTIONA;Damn!;
EVT_700140_NAME;Negotiating with the strikers;
EVT_700140_DESC;An attempt to negotiate with the striking workers has been made. All political forces in the country closely watch the meeting, some are hoping that the strike will become an impulse for further reforms in Russia.;
EVT_700140_OPTIONA;Stall the negotiations.;
EVT_700140_OPTIONB;Reach an agreement but implement only social reforms.;
EVT_700140_OPTIONC;Reach an agreement but implement only economical reforms.;
EVT_700140_OPTIOND;Reach a complete agreement.;
EVT_700141_NAME;The factories returns to work;
EVT_700141_DESC;With the crisis resolved the factories may return to their previous efficiency.;
EVT_700141_OPTIONA;Splendid!;
EVT_700142_NAME;Negotiating with the strikers;
EVT_700142_DESC;An attempt to negotiate with the striking workers has been made. All political forces in the country closely watch the meeting, some are hoping that the strike will become an impulse for further reforms in Russia.;
EVT_700142_OPTIONA;Stall the negotiations.;
EVT_700142_OPTIONB;Reach an agreement but implement only social reforms.;
EVT_700142_OPTIONC;Reach an agreement but implement only economical reforms.;
EVT_700142_OPTIOND;Reach a complete agreement.;
EVT_700143_NAME;The factories returns to work;
EVT_700143_DESC;With the crisis resolved the factories may return to their previous efficiency.;
EVT_700143_OPTIONA;Splendid!;
EVT_700144_NAME;Negotiating with the strikers;
EVT_700144_DESC;An attempt to negotiate with the striking workers has been made. All political forces in the country closely watch the meeting, some are hoping that the strike will become an impulse for further reforms in Russia.;
EVT_700144_OPTIONA;Stall the negotiations.;
EVT_700144_OPTIONB;Reach an agreement but implement only social reforms.;
EVT_700144_OPTIONC;Reach an agreement but implement only economical reforms.;
EVT_700144_OPTIOND;Reach a complete agreement.;
EVT_700145_NAME;Zemstvo funds a hospital;
EVT_700145_DESC;A local self-government, Zemstvo, has recently collected funds and organised the construction of a hospital in one of our provinces.;
EVT_700145_OPTIONA;Splendid!;
EVT_700146_NAME;Zemstvo funds a railroad;
EVT_700146_DESC;A local self-government, Zemstvo, has recently collected funds and organised the construction of a railroad in one of our provinces.;
EVT_700146_OPTIONA;Splendid!;
EVT_700147_NAME;Zemstvo funds a school;
EVT_700147_DESC;A local self-government, Zemstvo, has recently collected funds and organised the construction of a school in one of our provinces.;
EVT_700147_OPTIONA;Splendid!;
EVT_700148_NAME;Zemstvo gather funds for the war effort;
EVT_700148_DESC;A local self-government, Zemstvo, has recently collected funds to be donated to our military.;
EVT_700148_OPTIONA;Splendid!;
EVT_700149_NAME;Youth organisation provides volunteers;
EVT_700149_DESC;A youth organisation is happy to announce that an extraordinary number of teenagers have excelled in physical tests and were recommended to join our military.;
EVT_700149_OPTIONA;Splendid!;
EVT_700150_NAME;A patriotic ceremony;
EVT_700150_DESC;The mayor of one of our cities has proposed to organise a great patriotic ceremony to help improve morale and to commemorate our nation's heroes.;
EVT_700150_OPTIONA;Encourage this proposition.;
EVT_700150_OPTIONB;Grant additional help.;
EVT_700151_NAME;Investing in the future;
EVT_700151_DESC;With the new regime established the central government has been given the means to stimulate economic growth according to our current needs.;
EVT_700151_OPTIONA;Encourage railroad construction.;
EVT_700151_OPTIONB;Encourage hospital and school construction.;
EVT_700151_OPTIONC;Increase military production.;
EVT_700151_OPTIOND;Promote a stable, balanced growth.;
EVT_700152_NAME;Village collective reports production surplus;
EVT_700152_DESC;A village collective has reported that they have exceeded their projected production efficiency.;
EVT_700152_OPTIONA;Splendid!;
EVT_700153_NAME;A new collective is formed;
EVT_700153_DESC;A new labour collective has been formed. Socialist methods of work are being introduced as the capitalist system receives yet another blow.;
EVT_700153_OPTIONA;Splendid!;
EVT_700154_NAME;Projected limits exceeded;
EVT_700154_DESC;Several mines and factories have exceeded projected limits. The resource surplus is reaching our warehouses.;
EVT_700154_OPTIONA;Splendid!;
EVT_700160_NAME;The clergy criticises the government;
EVT_700160_DESC;A number of priests have voiced their disagreement with our policy of a secular and modern state. Even though this fact has little importance we must keep in mind that religion plays a huge role in common people's lives.;
EVT_700160_OPTIONA;Progress cannot be stopped!;
EVT_700161_NAME;The patriarch criticises the government;
EVT_700161_DESC;Seeing increased displeasure amongst the common people the patriarch has decided to voice his concern about the increasing secularisation of our state. Even if we try to turn a deaf ear on the clergy's demands we cannot easily ignore such an influential and powerful character such as the patriarch.;
EVT_700161_OPTIONA;Everything shall stay as it is!;
EVT_700161_OPTIONB;Encourage a national debate on religious matters.;
EVT_700162_NAME;The patriarch criticises the government;
EVT_700162_DESC;Seeing increased displeasure amongst the common people the patriarch has decided to voice his concern about the increasing secularisation of our state. Even if we try to turn a deaf ear on the clergy's demands we cannot easily ignore such an influential and powerful character such as the patriarch.;
EVT_700162_OPTIONA;Everything shall stay as it is!;
EVT_700162_OPTIONB;Encourage a national debate on religious matters.;
EVT_700162_OPTIONC;He is right, declare Orthodoxy our state religion!;
EVT_700163_NAME;The patriarch criticises the government;
EVT_700163_DESC;Seeing increased displeasure amongst the common people the patriarch has decided to voice his concern about the increasing secularisation of our state. Even if we try to turn a deaf ear on the clergy's demands we cannot easily ignore such an influential and powerful character such as the patriarch.;
EVT_700163_OPTIONA;Everything shall stay as it is!;
EVT_700163_OPTIONB;He is right, declare Orthodoxy our state religion!;
EVT_700164_NAME;The patriarch criticises the government;
EVT_700164_DESC;Seeing increased displeasure amongst the common people the patriarch has decided to voice his concern about the increasing secularisation of our state. Even if we try to turn a deaf ear on the clergy's demands we cannot easily ignore such an influential and powerful character such as the patriarch.;
EVT_700164_OPTIONA;Everything shall stay as it is.;
EVT_700164_OPTIONB;Root out these narrowminded elements!;
EVT_700165_NAME;Motherland mass;
EVT_700165_DESC;Despite our secular politics there are still some religious elements within the country that wish well for its future, no matter who is in charge of the government. Yesterday a small mass was dedicated to the prosperity of our motherland.;
EVT_700165_OPTIONA;A harmless, yet useful ceremony!;
EVT_700166_NAME;Motherland Mass;
EVT_700166_DESC;A small celebration dedicated to the prosperity of our Motherland has been performed yesterday in one of our towns. Even though it was very modest in scale and attendance it attracted the conservative media's attention. Many common people consider this to be a visible sign of the Church's support for the Motherland.;
